Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,717.0,8.0,92.0,3124.0,0.1,43.41700000000004,0.0,0.0,503.8737015724182,,,,,,,,,,,,,,,,,,,,,13.33292885156543,8.238022138331573,31.78319095659603,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,767.0,9.0,50.0,3174.0,0.1,22.107000000000024,0.0,0.0,508.67647337913513,,,,,,,,,,,,,,,,,,,,,6.208045830329462,6.143473353789904,19.388814493250965,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,844.0,10.0,77.0,3251.0,0.1,38.908,0.0,0.0,515.8010518550873,,,,,,,,,,,,,,,,,,,,,12.408925178094204,9.92952550440469,29.949115001395217,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,923.0,11.0,79.0,3330.0,0.1,48.105999999999995,0.0,0.0,523.3005311489105,,,,,,,,,,,,,,,,,,,,,14.755978191690577,11.665188014803928,37.18883504597941,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1079.0,12.0,156.0,3486.0,0.1,116.70599999999999,0.0,0.0,537.3076815605164,,,,,,,,,,,,,,,,,,,,,33.73635391820675,20.315148412196137,65.3783163836317,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1149.0,13.0,70.0,3556.0,0.1,38.20799999999999,0.0,0.0,543.7617123126984,,,,,,,,,,,,,,,,,,,,,12.165296698922825,9.512979045536483,30.295166116471794,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1205.0,14.0,56.0,3612.0,0.1,42.50599999999999,0.0,0.0,549.0756876468658,,,,,,,,,,,,,,,,,,,,,15.103502249815582,11.931121251088376,34.73935184175414,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1295.0,15.0,90.0,3702.0,0.1,62.308,0.0,0.0,557.3389885425568,,,,,,,,,,,,,,,,,,,,,19.247766311146925,15.628626865120875,45.89838824606442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1344.0,16.0,49.0,3751.0,0.1,28.206000000000017,0.0,0.0,562.3327963352203,,,,,,,,,,,,,,,,,,,,,9.557244507882515,8.059504695980676,24.000561362246263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1414.0,17.0,70.0,3821.0,0.1,46.60699999999999,0.0,0.0,568.9385497570038,,,,,,,,,,,,,,,,,,,,,15.919247606031032,11.929368044534348,36.18357991610882,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1598.0,18.0,184.0,4005.0,0.1,135.00699999999998,0.0,0.0,585.2775294780731,,,,,,,,,,,,,,,,,,,,,37.06059635756063,21.048937726734056,68.17212805028913,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1665.0,19.0,67.0,4072.0,0.1,40.706999999999994,0.0,0.0,591.6260917186737,,,,,,,,,,,,,,,,,,,,,13.462068891315761,10.303115813659485,32.33079669709051,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1849.0,20.0,184.0,4256.0,0.1,121.50699999999989,0.0,0.0,608.0494959354401,,,,,,,,,,,,,,,,,,,,,30.603852014696994,20.44515145561741,66.51965339552848,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,183.0,1.0,183.0,4439.0,0.1,136.008,0.0,0.0,865.7156438827515,,,,,,,,,,,,,,,,,,,,,38.73312383953738,20.70354501242626,66.44871275752124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,231.0,2.0,48.0,4487.0,0.1,15.513999999999987,0.0,0.0,870.3289561271667,,,,,,,,,,,,,,,,,,,,,3.2599270711348383,4.384493407837043,14.232460979344227,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,325.0,3.0,94.0,4581.0,0.1,58.207,0.0,0.0,879.0922100543976,,,,,,,,,,,,,,,,,,,,,17.63329330168226,13.62609443112273,42.47699652731215,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,459.0,4.0,134.0,4715.0,0.1,88.80699999999987,0.0,0.0,891.1430745124817,,,,,,,,,,,,,,,,,,,,,24.821286616960208,18.24497183080268,56.674294391667466,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,539.0,5.0,80.0,4795.0,0.1,38.309000000000005,0.0,0.0,898.6297783851624,,,,,,,,,,,,,,,,,,,,,12.787087246344209,8.821367274347857,28.649454344377748,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
